PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s)
40087144,Automatic Detection of Cognitive Impairment in Patients With White Matter Hyperintensity Using Deep Learning and Radiomics.,2025 Jan-Dec
40087120,Modified radical hysterectomy for stage IB1 (≤2 cm) cervical cancer: assessment of temporal trends and oncologic outcomes in the United States.,2025 Feb 1
40087092,Measurements of tenofovir-diphosphate and emtricitabine-triphosphate concentrations in dried blood spots of people receiving pre-exposure prophylaxis for HIV with co-formulated tenofovir disoproxil fumarate and emtricitabine.,2025 Mar 8
40087082,Antidiabetic Drugs Consumption in France Over a Decade: An Observational Study.,2025 Mar 13
40087070,[Reducing cancer care inequities: Research and innovation in the French overseas territories].,2025 Mar 13
40087069,MARVELD1 inhibits Neuro2a cell migration and tumorigenesis via regulating the transcriptional coactivators and protein methylation.,2025 Mar 13
40087059,Narrowing of the Racial Disparities Gap in Survival of Patients With Mycosis Fungoides: A Longitudinal Analysis of the SEER Database.,2025 Feb 25
40087058,"Health-Related Quality of Life in Patients With Relapsed/Refractory Multiple Myeloma Treated With Carfilzomib, Dexamethasone, and Daratumumab Versus Carfilzomib and Dexamethasone: An Analysis of Patient-Reported Outcomes From the Phase 3 CANDOR Trial.",2025 Feb 19
40087057,"Predicting Severe Radiation Pneumonitis in Patients With Locally-Advanced Non-Small-Cell Lung Cancer After Thoracic Radiotherapy: Development and Validation of a Nomogram Based on the Clinical, Hematological, and Dose-Volume Histogram Parameters.",2025 Feb 21
40087028,Drug-drug interactions in metastatic hormone-sensitive prostate cancer (mHSPC): practical considerations for treating men with androgen receptor pathway inhibitors and common medications in this stage.,2025 Mar 14
40087025,"A Surface-Enhanced Raman Scattering Platform for Rapid, Sensitive, and Cost-Effective Quantitative Analysis of Exosomes Based on Titanium Dioxide Functionalized Nanomaterials.",2025 Mar 14
40086918,"Best practice offloading treatments for diabetic foot ulcer healing, remission, and better plans for the healing-remission transition.",2025 Mar
40086890,Validation of the GPAT - the Global Polypectomy Assessment Tool: European Society of Gastrointestinal Endoscopy (ESGE) Position Statement.,2025 Mar 14
40086878,From fat to fear: how lipid powers cancer spread.,2025 Mar 14
40086774,Leser-Trélat sign in a patient with ovarian cancer.,2025 Mar 12
40086769,The Dual Role of Chaperone-mediated Autophagy in the Response and Resistance to Cancer Immunotherapy.,2025 Mar 12
40086760,Disulfiram-loaded electrospun fibers with antimicrobial and antitumoral properties for glioblastoma treatment.,2025 Mar 12
40086756,Hereditary antithrombin deficiency and venous thrombosis in pregnancy - results of a retrospective multicenter study.,2025 Mar 12
40086755,Factor VIII a coagulation co-factor is a relevant survival factor in bladder cancer cell lines.,2025 Mar 12
40086746,Testes-specific protease 50 heightens stem-like properties and improves mitochondrial function in colorectal cancer.,2025 Mar 12
